usage_id,location_id,product_id,usage_per_day_base,confidence,basis,source,as_of,safety_days,active,notes
WOLA__P024,WOLA,P024,12.75,A,purch+teoret+real,gostock-2026-09-06,2026-08-30,1,TRUE,Gyros 15 KG; 8 weeks to 2026-08-30 (Gyros (kilogram))
WOLA__P026,WOLA,P026,9.4,A,purch+teoret+real,gostock-2026-09-06,2026-08-30,1,TRUE,Pita (opakowania) szt 10; 8 weeks to 2026-08-30 (Pita (sztuka))
WOLA__P027,WOLA,P027,12.5,A,purch+teoret+real,gostock-2026-09-06,2026-08-30,1,TRUE,Souvlaki Kurczak; 8 weeks to 2026-08-30 (Souvlaki Kurczak (kilogram))
WOLA__P028,WOLA,P028,2.25,A,purch+teoret+real,gostock-2026-09-06,2026-08-30,1,TRUE,Souvlaki Wieprz; 8 weeks to 2026-08-30 (Souvlaki Wieprz (kilogram))
WOLA__P063,WOLA,P063,0.02,C,POS_only,gostock-2026-09-06,2026-08-30,1,TRUE,Monster (wszystkie); 8 weeks to 2026-08-30 (Monster (wszystkie) (sztuka))
WOLA__P064,WOLA,P064,0.2,C,purch+teoret+real,gostock-2026-09-06,2026-08-30,1,TRUE,Cappy Jabłko; 8 weeks to 2026-08-30 (Cappy Jabłko (sztuka))
WOLA__P065,WOLA,P065,0.33,B,purch+teoret+real,gostock-2026-09-06,2026-08-30,1,TRUE,Cappy Pomarańcza; 8 weeks to 2026-08-30 (Cappy Pomarańcza (sztuka))
WOLA__P066,WOLA,P066,0.88,B,purch+teoret+real,gostock-2026-09-06,2026-08-30,1,TRUE,Fanta; 8 weeks to 2026-08-30 (Fanta (sztuka))
WOLA__P067,WOLA,P067,0.82,A,purch+teoret+real,gostock-2026-09-06,2026-08-30,1,TRUE,Sprite; 8 weeks to 2026-08-30 (Sprite (sztuka))
WOLA__P068,WOLA,P068,4.53,A,purch+teoret+real,gostock-2026-09-06,2026-08-30,1,TRUE,Coca Cola; 8 weeks to 2026-08-30 (Coca-Cola Original Taste (sztuka))
WOLA__P069,WOLA,P069,7.77,A,purch+teoret+real,gostock-2026-09-06,2026-08-30,1,TRUE,Coca Cola Zero; 8 weeks to 2026-08-30 (Coca-Cola Zero Cukru (sztuka))
WOLA__P070,WOLA,P070,1.2,B,purch+teoret+real,gostock-2026-09-06,2026-08-30,1,TRUE,Kropla Beskidu Niegazowana; 8 weeks to 2026-08-30 (Kropla Beskidu Niegazowana (sztuka))
WOLA__P071,WOLA,P071,0.32,B,purch+teoret+real,gostock-2026-09-06,2026-08-30,1,TRUE,Kropla Beskidu Gazowana; 8 weeks to 2026-08-30 (Kropla Beskidu Gazowana (sztuka))
WOLA__P074,WOLA,P074,0.77,A,purch+teoret+real,gostock-2026-09-06,2026-08-30,1,TRUE,Corona; 8 weeks to 2026-08-30 (Corona (sztuka))
WOLA__P078,WOLA,P078,0,C,POS_only,gostock-2026-09-06,2026-08-30,1,TRUE,Lech Free; 8 weeks to 2026-08-30 (Lech Free (sztuka))
WOLA__P079,WOLA,P079,0.34,C,purch+teoret+real,gostock-2026-09-06,2026-08-30,1,TRUE,Kinley; 8 weeks to 2026-08-30 (Kinley (sztuka))
WOLA__P080,WOLA,P080,0.37,C,purch+teoret+real,gostock-2026-09-06,2026-08-30,1,TRUE,Corona 0%; 8 weeks to 2026-08-30 (Corona 0% (sztuka))
WOLA__P081,WOLA,P081,0.12,C,purch+teoret+real,gostock-2026-09-06,2026-08-30,1,TRUE,Fuzetea; 8 weeks to 2026-08-30 (Fuzetea (sztuka))
